"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cpeb4",0.000231485182943706,-0.728144568791882,0.742,0.831,1,"Med.A1","Cpeb4"
"Vav3",0.000232084502819687,0.493191452488117,0.984,0.978,1,"Med.A1","Vav3"
"Zfyve28",0.000248070457810973,-0.590822980117876,0.629,0.785,1,"Med.A1","Zfyve28"
"Itpr1",0.000260548723754901,-0.556200193781312,0.532,0.726,1,"Med.A1","Itpr1"
"Pdzrn3",0.000268568741490538,-1.91246695161829,0.21,0.409,1,"Med.A1","Pdzrn3"
"Atp6v1g1",0.00027544278188256,-0.938726151296669,0.258,0.482,1,"Med.A1","Atp6v1g1"
"Prdm2",0.000283312278487289,-0.63880168130655,0.532,0.72,1,"Med.A1","Prdm2"
"Stk10",0.000285039830386514,-0.903666607247976,0.242,0.491,1,"Med.A1","Stk10"
"Kcnj3",0.000289213433416832,-0.403921596745773,0.952,0.973,1,"Med.A1","Kcnj3"
"Htr2c",0.000297587852913493,0.522492990285643,0.952,0.89,1,"Med.A1","Htr2c"
"Nwd2",0.000302754157358148,-0.702450076699174,0.403,0.62,1,"Med.A1","Nwd2"
"Galnt16",0.000303378588266525,-0.470281543412683,0.419,0.634,1,"Med.A1","Galnt16"
"Tanc2",0.000307473581593867,-0.350594539495897,0.919,0.994,1,"Med.A1","Tanc2"
"Plekho1",0.00031489297864457,-0.909291574008289,0.129,0.358,1,"Med.A1","Plekho1"
"Lrrc49",0.000315876000490508,-0.383420316997838,0.742,0.895,1,"Med.A1","Lrrc49"
"Mn1",0.000318019566856904,-2.50182859182283,0.032,0.223,1,"Med.A1","Mn1"
"Asb13",0.00032557430936757,-0.727547829597642,0.306,0.548,1,"Med.A1","Asb13"
"Ebf4",0.000328600729064305,-1.72747545891478,0.081,0.281,1,"Med.A1","Ebf4"
"Shf",0.000332624179748216,1.45264398209025,0.194,0.072,1,"Med.A1","Shf"
"Ppp1r12b",0.00033436070674153,-0.321937119807486,0.871,0.938,1,"Med.A1","Ppp1r12b"
"Grip1",0.000341672808968253,-0.353161049589053,0.984,0.992,1,"Med.A1","Grip1"
"Lars",0.000358462312762406,-0.453970424959515,0.419,0.681,1,"Med.A1","Lars"
