"","RNA.Lat.B1","RNA.IntP.A1","RNA.IntP.B1","RNA.IntP.B2","RNA.IntA.B1","RNA.IntA.B2"
"Lysmd4",11.5796603868893,5.83656347566968,18.4432183580937,11.9473882028429,13.3364777540071,14.1739131351422
"Nkx2-5",0.57483053743852,0,0.478449059528632,0,0,0
"Afmid",1.56959442338038,2.3336175608599,3.76673184657324,1.91943040662723,10.7379200925623,1.61727882074562
"Gas6",259.661954367326,157.84694714391,235.520848804867,186.469121937385,366.804504562294,212.015141993087
"Begain",16.4854578304047,60.6926351844063,10.34605354176,4.9586284791771,25.0788973569218,24.7033134481747
"Gpc6",952.318680700535,898.915260836029,829.484273471718,877.536291476652,454.386250773146,181.130615491475
"Arhgef37",9.78044872080132,15.2372034488549,13.4579572706454,9.23636284580825,7.77086904768677,9.80364273272415
"Fam43b",5.76407110919675,3.97004183031428,7.45215751809703,0.997468604719204,5.69649383061682,1.33215215841953
"Csmd1",4310.21497719746,2523.52113726104,1961.10920935189,2990.50848821607,2762.72833189938,2246.32268175786
"Calhm3",0.0927503680553831,0.0465888293695178,0.0225381540521595,0.167138297344085,0.0182174873596142,0.205174723386991
"Cep57l1",71.5539148261731,62.5754606155352,94.9660221305842,94.2306677537644,74.1715348759259,122.702625359885
"Ripply3",0.250496244197869,0.308988199286506,0.580657087597085,0.129798112495008,0.214373144500406,0.430638850967008
"Gpr19",3.5785272744484,7.58803176462284,10.447865242328,8.39967046828605,54.0754354719409,1.73683904810155
"Rabif",7.96002227879727,13.7480628607395,13.9696471494132,23.4469916009632,4.86520166736498,5.34961647839407
"Tmem119",0.0292000941661816,0.0580402994693724,0,0.377618915181185,0,0
"Fancf",1.41498365218745,7.97900210822668,2.47335674621296,1.215491698598,3.84208888327849,1.97406205225061
"Caln1",1429.96487684871,846.507813859265,1234.53220449067,1152.08989319147,980.448033372375,1043.24935056983
"Gabrr3",0.377828101662394,0.112411201225608,0.243026428865541,0.31894348525344,0.361645223425877,0.853014465018015
"C2cd4c",0.390791609975641,0.813628510125718,2.38645924687523,0.424261675642982,0.130698782784809,0
"Ruvbl2",11.8234043370244,16.6299755277515,13.7230008119262,6.74042538230876,14.7989203462334,6.19240894662207
"Ctnna3",182.152839049378,106.581951497164,181.684253074966,180.525783884151,114.322174023062,223.450152318978
"Ddx41",10.5778771762271,9.85464352697366,8.61064331545401,6.29395255202695,18.6081039550381,34.9477409036927
"Ccdc60",4.01783336094576,1.34576369281275,3.30669072740063,2.5662182439508,3.54033188571745,3.5182212466604
"Dazap2",11.9638177237881,55.0523474124524,29.4975058734192,16.3813565472908,18.7396920124751,17.4973416428865
"Ccbe1",19.4774081591009,17.2568573671632,68.7285990492571,18.4201959828737,2.04457845619312,9.92454953786174
"Selenof",16.6398854142365,38.589585324627,28.4610596483462,22.8057863654038,21.8678169613785,24.1750659316743
"Rec114",90.4516314984157,92.7170416025735,88.6144812012961,86.5974135271218,72.218684631457,108.885013690952
"Bcor",38.8224591778479,51.9210144573346,28.4214440975316,36.212308842349,32.3790739197142,67.3740089805293
"9930021J03Rik",281.902934305478,191.105291741129,323.695821684931,382.901994202804,257.829075387636,188.854272075674
"Ovch2",1.30247793156465,0.028860724507449,0.163442899946025,1.2325564028663,2.29597783702454,0.250234226812818
"Syndig1l",1.07067988948631,0.125676686965169,4.39281900032883,2.23255439558752,3.61062826545534,14.2996139875019
"Fhl3",4.09906292724408,0.292242609882023,0.0243041999212933,1.60056681634499,0.767061633835236,0.165567573921783
"Pmch",0.179681334939456,0.144004789748235,0.637293565014651,0.140344731571053,0.0418215772740211,0
"Ripk4",0.167437643295398,0.145981380767421,0.0820146583433201,0.123516419682005,0.131218099926247,0.182532312246868
"Lrit3",3.0325292745205,1.34739533371943,4.13508433451462,1.42106458728386,7.46312255111926,2.17313666364915
"Sf3a3",21.8719674753848,31.7650735516811,13.8470370059581,28.7693060991879,30.2240060893267,19.9159074827142
"Grin2a",186.319995137444,109.197084528182,25.3731854144221,61.3018615085019,162.361219102604,114.022851259752
"Asb7",39.9265023593088,36.3656429110747,61.2057363492193,52.7579194960308,57.1686352021854,47.6564583797857
"Ep400",115.573147008958,76.7583772595191,136.976072204988,147.272313920146,115.84682677466,146.819684515897
"Mex3b",0.374037202085616,1.15648121049289,0.0603591660690581,3.28728251308409,0.386028151804427,0.0584175310075873
"Fam46c",0.0993277053221508,0.067645249433235,0.186174463338247,0.193068998592771,0.0534723538894536,0
"Coa5",9.6068475350382,13.8685376777979,11.682708031336,5.2558901461149,23.4172817987986,6.32386409888851
"Utp11",5.74313701096155,9.42335942987096,21.5761326822997,5.3867576794245,17.0382486634713,3.75657303717634
"Psmg1",3.44409037426571,2.54900947031987,1.56500631392894,12.9340205115482,7.31888172578992,4.69077567175007
"Prr14l",184.027674169906,86.8713230322919,236.912657944457,135.978991043005,103.472578929205,129.32616477392
"Acsm5",1.71864972532652,0.275335623242717,0.91970168805742,2.0348818120315,0.0550748622230176,1.03321852344397
"Serhl",6.45012463542589,0.117595941181182,4.72895662963223,3.90811922791455,0.78670813023437,1.16039729552863
"Pgpep1l",0.427114387519197,0,0,0,0,0
"Setd3",54.8128351591191,38.7438282401878,44.6011239427055,33.2714239020531,61.7932434178797,32.131023562372
"Tnfaip8l3",0.0838457831540524,0.0565206123363671,0,0.23892740761406,0.707480283366741,0.25584277313159
"Znrf3",38.118302863765,35.5594536227682,58.7484231394517,21.129098614442,14.6659009165218,28.5811118436577
"Fbxl7",20.6985120206137,30.5712204957998,24.1349269552441,34.3282348483066,24.2636171461687,39.2565924524808
"Hist1h3e",0,0,0,0,0,0
"Sfxn4",34.7457594796863,34.5078320522356,45.2205040311476,23.4632152150448,22.9950856579681,59.3703561292395
"Gkn2",0.148032242616299,0.0433340203272455,0.174580309358169,0.25941442867261,0.211637300441177,0
"Fam167b",0,0,0,0.0857051182421369,0,0
"Mrpl54",0.762600903119695,4.34702682642345,0.405591303343121,0.294546867872598,3.06327270085099,1.29182082446395
"Zfp438",41.5540212329224,119.683019761823,113.271161501753,75.9675758465336,83.8965882343292,65.2926562726455
"Hmces",13.2384772511047,7.56648515686912,12.1962607581121,8.14878911864523,20.5942543040008,11.2058907064489
"Rp1l1",3.44567468389537,1.29654780133529,1.69401482334661,1.82138712847013,1.55047616788926,3.19266337022617
"AC121965.1",18.0827709270464,31.7522526328354,22.8134253530052,17.1073848123966,31.856258745846,28.285253614961
"March11",167.8975475993,162.573194963402,144.460150637201,128.739436952333,236.311708861049,185.53902229054
"Klhl25",2.68273725677418,8.16235645720568,3.22394689187371,3.56956210392901,4.80872481129916,1.34897724624482
"Fam19a1",329.309878094749,262.844194930738,428.937973951106,280.409465612184,297.862167997723,131.085075246911
"Trmt12",20.5147270518691,42.4030401455001,18.4468323718172,11.0605205892183,26.2536548979712,21.1746976771196
"Efhc2",7.4294556425375,5.39663291185249,8.75190102586178,7.78436517926887,8.51244841414005,5.7484667267231
"Nog",0.319599385074381,0.967962489702127,0.460613340909413,0,0.724501107697382,0
"Upp1",178.06361622187,183.399914988345,156.866006635233,200.363098620318,265.551336141476,190.317471007479
"Opcml",3182.9531886914,1822.34270324045,1256.41566332705,3162.92233286789,3700.59453005041,2937.205145536
"Lhfp",4.72541658616283,131.877438513246,106.997534963058,82.529242100266,8.23342398698782,11.621422502878
"Cmtm4",120.370084842534,99.7595072326576,93.2998092762547,65.5178243758946,98.6603470183468,104.39117397929
"Tmem50a",26.4156160919372,13.7694964869973,17.9302107941763,9.74577708535928,11.1616263532753,13.0256554871482
"Npbwr1",0,0,0,0,0,0
"Ascl2",0.00420504400073942,0,0,0,0,0.0584175310075873
"Tbk1",37.5257742146396,54.1593061266333,33.2480260823025,44.6121576242507,56.2292540379414,67.8882332627863
"Cbx6",23.6086088177547,23.3922277612426,14.4748053829782,18.6990139761319,21.4567513020381,18.8060284668992
"Macc1",0.779018724847906,0.166534144219259,0.58913693663154,1.48587621716769,0.758396784473141,1.45065873623292
"Tbl3",4.25107911169806,2.46159688661438,0.380325270589461,2.0237362281153,3.49252176551324,0.229214985663176
"Kremen1",12.4723062575716,7.3261896088262,11.6685730033449,15.0043067006889,11.4083404829937,20.0178736768676
"Traip",5.1468863246043,0.564570630952946,12.6824549506793,1.88418206921423,2.09828423518205,13.126918468369
"Chek2",5.87034981934531,2.49844759139979,3.85492053453474,3.92539912649222,4.12669676093743,8.381898642166
"Foxl2",0.00693423931481395,0,0,0,0,0
"Aifm3",44.5776653792059,40.8276105495438,49.9166312055201,72.7886678444114,106.604493422366,53.0323171417299
"Kctd16",259.90936326209,301.40424070143,210.677968374085,176.430442573773,165.138710796957,109.006206970391
"B3galt5",27.1310565888446,15.304460816016,31.689798034682,24.5925463031301,39.2557809700146,27.6903455490814
"Zfp703",1.09109804403227,0.508769062152206,0.0829359251141675,0.824088159805553,1.24152944978553,1.50325126404641
"Slc35f3",1112.92139956639,681.853279770067,1050.35601828822,413.773738474935,1239.05814652021,1148.41857461141
"Kctd8",312.305066591549,528.859632432584,427.273045472602,324.101493157401,322.116681643675,408.659703901095
"Emilin3",0.0475666246343605,0,0.0225381540521595,0,0.0805057353053579,0
"Olfml1",0.275836327536094,0,0.121839201738792,0.0495220012633062,0,0
"Fam162b",1.02259901106005,0.0552461513091708,1.07545662406315,0.405898967512096,7.3564849793179,5.26695635682093
"Ccr4",0.0313386051752086,0.0479842861648954,0.247498595784546,0,0,0
"Lin9",20.1990984068259,11.7673864895699,16.595276603609,15.5535919620123,16.4249131581168,9.5992327334037
"Btbd9",908.930585214767,558.512449498578,637.002390717304,719.506932909743,807.295109045774,833.600253769712
"Nudt14",3.0313452868108,6.03256144821988,1.31867859924356,1.12092483079498,1.9810811317029,2.2212104000288
"Gpr39",22.4159042003075,54.8810850104138,76.6048174142712,40.1594900133578,8.01915872221258,35.359145647831
"Fam3b",0.303370792540978,0.597665813286991,0.472352654910778,0.297856207977817,0.376407602812468,0.292413772778822
"Kirrel",139.629703063895,113.305196203877,109.164335542952,145.134336156179,110.611976767252,119.164629417939
"Iqgap3",0.77587844267469,0.337189052113911,0.521645491853759,0.331843350499914,0.478726957166822,1.19714669052288
"Cnga2",0.0116807828927926,0,0,0,0,0
"Tob2",49.0243181249221,44.6098125157049,29.2362293170139,64.3056846882982,29.0691730316325,43.792942638067
"Arsi",0.644964323785922,0.878655966263872,0.871413109701995,0.731732872226958,0.322381914577028,1.03847042304878
"Ttc32",8.42574536891856,15.7027176464835,4.1321913845961,1.97385855124952,9.67133991920397,10.3420229236245
"Sh2d1a",0.0034297500082657,0,0,0,0,0
"Kcnh8",258.68525454498,75.1240680702874,39.5881940956433,108.491826829456,177.88526094692,49.7727372426709
"Smtn",0.756526252273751,0.150162704816725,0.771007031770208,0.112138541450739,0.858067946458712,0.650807315088668
"Pp2d1",15.786852981457,19.4296536806745,12.3178584671503,4.6939851829724,13.6000537388514,5.58693921301366
"Npb",0.0180847661408277,0,0,0.174395527661572,0.0393584820959296,0
"St6galnac3",38.1124799812142,92.8213692420434,79.0292942089354,197.954473228081,56.2795826174499,62.3310034266818
"Ptp4a2",24.4999341745474,52.0818555666962,37.4049263393857,22.7638685104952,37.8802775405657,15.1335002555865
"Tmprss2",1.19606245981799,0.354647274900697,1.00073262723304,1.16289162638513,1.11549723333435,1.00064996635044
"Dennd5a",133.952810903581,114.793641520915,111.363371980575,161.710012553895,164.915930110363,164.705558537714
"Tbx1",14.1253796760419,5.23934303350603,4.30257378792486,5.07810892667164,6.53583204946794,15.1235454974823
"Adap2",7.72144991748339,17.1231040307209,9.37527956023379,8.09302548076074,5.31767137708948,5.01906172066015
"Uqcr10",9.56310642921638,45.6222111345074,5.19059164330719,9.37109940943174,35.1619438060558,26.1374504438539
"Cldn5",0.0059285941114062,0.0711751877601453,0,0.150842826752337,0.249589956104455,0.25696803562149
"Nipsnap1",24.3760355934173,19.157862570414,20.7943550676786,28.3968583759473,13.9307974520336,17.950404679716
"Cntn2",29.1524651635163,92.9239544273256,21.7720673463504,16.1002719073599,34.0241617409633,43.5645782608557
"Kcnq3",89.4050835885929,378.698565234638,160.124277132017,161.490119358337,70.181578383516,33.6388479117491
"Adra2c",0.186315800949439,0,0.497394708690219,0,0,0
"Nr2c2ap",0.694711740727071,0,0.27093941740439,5.61102867340264,0.577757175132354,0.173370799919001
"C1qtnf12",0.300473364658573,0.0161609830428623,0.339476220838444,0,1.53132953763122,0
"Creld2",14.2656595716762,5.72505998947018,33.2969955564045,2.06619026880294,17.7678248066874,19.0160903090011
"Scfd2",533.721528276678,246.054946956827,484.185646344501,483.954462307157,475.750258571316,818.617057430166
"Pgp",87.2915247692273,50.0399667937446,76.149651306614,122.722901181329,51.654687222987,56.4258241020624
"Snrnp35",8.33863441948017,9.81317202855783,9.94930629287684,8.59983306171374,25.4906454879007,6.18907219238733
"Cmss1",26.3190735733216,33.2820271019189,22.4583241524755,44.4208574301382,39.3599992371879,19.9452075289888
"Oaf",10.6610055106269,1.119576248192,7.27888749166048,2.08829994256229,16.8956044428073,24.966195449473
"Aldh1a3",0.489679611118483,1.22497540667707,2.30203263096813,0,0.251325583795849,0.739596019036351
"Kcnk12",6.36898142496492,12.6079774728256,12.2343076748413,6.62958451770671,14.7278457645122,4.43497877707907
"Pou6f1",31.1906701536152,37.2734406052961,22.7920964239448,71.7772929389555,48.0742736674372,34.5796390057478
"Tm2d3",53.6377083988134,93.1739181972892,30.9779052510469,45.1393177942834,92.4819146393549,22.6100906233849
