"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Parp8.5",7.4419263096356e-06,-0.304020532263722,0.769,0.897,0.400353309679466,"ex_5","Parp8"
"Fus.1",7.51625988679805e-06,-0.270547792013892,0.706,0.865,0.404352233130075,"ex_5","Fus"
"Ppp1r16b",7.5667278844227e-06,-0.38194603855435,0.569,0.722,0.407067259998288,"ex_5","Ppp1r16b"
"Gm38399.3",7.5915452578742e-06,-1.00477742041595,0.288,0.441,0.408402360237859,"ex_5","Gm38399"
"Fbxl4",7.60156715946136e-06,-0.347678276666647,0.438,0.627,0.408941508477543,"ex_5","Fbxl4"
"Sipa1l1.3",7.61766599879883e-06,-0.267114213618965,0.888,0.947,0.409807577737381,"ex_5","Sipa1l1"
"Gfra2.5",7.67207438979321e-06,1.22779126431677,0.262,0.144,0.412734585947706,"ex_5","Gfra2"
"Slc1a2",7.70053016347779e-06,1.17991355293657,0.4,0.268,0.414265421204615,"ex_5","Slc1a2"
"Prkcd.4",7.7146054999114e-06,-1.89630575882378,0.056,0.194,0.415022632078733,"ex_5","Prkcd"
"Atg4c",7.82867036252916e-06,-0.324891733307918,0.494,0.698,0.421158979492981,"ex_5","Atg4c"
"Mtr.3",7.89149723477835e-06,-0.454946737545626,0.388,0.559,0.424538876739371,"ex_5","Mtr"
"Cox11",7.96517321555319e-06,-0.563927069566617,0.244,0.431,0.428502423477115,"ex_5","Cox11"
"H2-Bl.2",8.03827365698228e-06,-1.68805144921405,0.044,0.177,0.432435007924676,"ex_5","H2-Bl"
"Rpgr.2",8.07735029727999e-06,-0.314325050435642,0.475,0.656,0.434537213942772,"ex_5","Rpgr"
"Slc35f6.1",8.07821678070697e-06,-0.922956965688975,0.088,0.249,0.434583828151693,"ex_5","Slc35f6"
"Dcbld1.1",8.09787812482741e-06,-0.912227914363666,0.244,0.402,0.43564154948134,"ex_5","Dcbld1"
"Asb7",8.12282047057502e-06,-0.459065871261916,0.319,0.501,0.436983372855524,"ex_5","Asb7"
"Pcdh17.3",8.15097359670664e-06,0.701216646584498,0.788,0.804,0.438497926582027,"ex_5","Pcdh17"
"Tpd52l1.1",8.17845948515585e-06,1.8353437112007,0.419,0.282,0.439976584922929,"ex_5","Tpd52l1"
"Atp6v0e",8.23265625210468e-06,-0.819540974979263,0.194,0.366,0.442892208394476,"ex_5","Atp6v0e"
"2010001A14Rik.2",8.24525111049352e-06,-0.988994257645032,0.075,0.22,0.44356977399122,"ex_5","2010001A14Rik"
"Bmp2k.3",8.2650232025115e-06,-0.291821522478263,0.225,0.408,0.444633453225511,"ex_5","Bmp2k"
"Setdb1.1",8.2854499014798e-06,-0.305213928023212,0.469,0.672,0.445732348349909,"ex_5","Setdb1"
"Robo3.5",8.2901451260934e-06,-2.15468229972221,0.012,0.133,0.445984937348447,"ex_5","Robo3"
"Fam214b.1",8.38990691853224e-06,-0.646123085771764,0.35,0.521,0.451351822496279,"ex_5","Fam214b"
"Gm28401.1",8.43569099924489e-06,0.92774282332241,0.15,0.06,0.453814868686377,"ex_5","Gm28401"
"Gm8281.2",8.59982057540126e-06,0.747788835612418,0.2,0.094,0.462644547494862,"ex_5","Gm8281"
"Trim9.2",8.74335862387203e-06,-0.257592217780412,0.55,0.792,0.470366463888444,"ex_5","Trim9"
