"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rora",7.01429301352612e-53,-2.26420412916228,0.807,1,8.3112357917271e-49,"Med.A1","Rora"
"Dpf3",8.02441315325349e-53,-2.34464984163623,0.89,0.996,9.50812714529006e-49,"Med.A1","Dpf3"
"Atp6v0c",8.97790038678822e-53,1.43690208727312,1,0.952,1.06379141683054e-48,"Med.A1","Atp6v0c"
"Stip1",1.09783071013692e-52,-3.06597876688847,0.211,0.952,1.30081960844124e-48,"Med.A1","Stip1"
"Grm8",1.31497697748716e-52,-2.6928578222293,0.651,0.99,1.55811622062454e-48,"Med.A1","Grm8"
"Vamp1",1.40255928927265e-52,1.8014234480626,0.991,0.962,1.66189250185917e-48,"Med.A1","Vamp1"
"Rsrp1",1.55146945392925e-52,-2.16443678130489,0.569,0.999,1.83833615596076e-48,"Med.A1","Rsrp1"
"Gphn",1.66876318399255e-52,-2.06166194463605,0.927,0.996,1.97731749671278e-48,"Med.A1","Gphn"
"Cntn5",1.88908615993064e-52,-3.85269113792924,0.532,0.968,2.23837819090182e-48,"Med.A1","Cntn5"
"Park2",2.06178253970457e-52,-2.79273752097071,0.743,0.982,2.44300613129595e-48,"Med.A1","Park2"
"Uchl1",2.06428002192246e-52,1.4597380690147,1,0.993,2.44596539797592e-48,"Med.A1","Uchl1"
"Pnisr",2.28830255141531e-52,-2.32093188474871,0.422,0.993,2.711409693172e-48,"Med.A1","Pnisr"
"Chrm3",2.6112287151706e-52,-2.84722007697129,0.541,0.992,3.09404490460564e-48,"Med.A1","Chrm3"
"Ndufa13",2.79562745751152e-52,1.63676385949756,1,0.923,3.3125389744054e-48,"Med.A1","Ndufa13"
"Adamts19",3.16138189787843e-52,-3.60514424258241,0.679,0.975,3.74592141079615e-48,"Med.A1","Adamts19"
"Slc25a5",3.41805405043651e-52,1.74052819402909,1,0.822,4.05005224436223e-48,"Med.A1","Slc25a5"
"Scn2a",3.55020535523838e-52,-2.49547362361958,0.596,0.99,4.20663832542196e-48,"Med.A1","Scn2a"
"Atp5b",3.97187444284808e-52,1.82702200104959,1,0.952,4.70627402733069e-48,"Med.A1","Atp5b"
"Far2",4.2263186290189e-52,-2.62321481182798,0.569,0.986,5.0077649435245e-48,"Med.A1","Far2"
"Wsb1",6.0953260392353e-52,-3.6799897006184,0.073,0.921,7.22235182388991e-48,"Med.A1","Wsb1"
"Kcnd2",6.77420354846484e-52,-2.66867755118409,0.78,0.983,8.02675378457599e-48,"Med.A1","Kcnd2"
"Ptpro",8.60712612289476e-52,-2.55079282636492,0.642,0.983,1.0198583743018e-47,"Med.A1","Ptpro"
"Npas3",9.02461399035904e-52,-2.43384187246599,0.972,1,1.06932651171764e-47,"Med.A1","Npas3"
"Msh4",1.23358753497841e-51,-3.8584509974213,0.202,0.933,1.46167787019592e-47,"Med.A1","Msh4"
"Aff3",1.39685252991203e-51,-3.06045530444554,0.817,0.989,1.65513056269276e-47,"Med.A1","Aff3"
"Plekha5",2.18810006925371e-51,-3.36011119032866,0.321,0.955,2.59267977205873e-47,"Med.A1","Plekha5"
"Cdkal1",2.20835438386637e-51,-2.68375627929433,0.541,0.978,2.61667910944326e-47,"Med.A1","Cdkal1"
"Hdac4",2.37794286309155e-51,-2.6162072285756,0.78,0.993,2.81762449847717e-47,"Med.A1","Hdac4"
"Gmds",2.79488649502729e-51,-2.57344600253888,0.89,0.993,3.31166100795783e-47,"Med.A1","Gmds"
"Sh3kbp1",2.90526682530636e-51,-2.48181971402516,0.89,0.989,3.44245066130551e-47,"Med.A1","Sh3kbp1"
"Aldoc",2.97252779417414e-51,1.90024236124367,1,0.808,3.52214818331694e-47,"Med.A1","Aldoc"
"ENSMUSG00000063646",3.3459343839919e-51,-2.81781624635969,0.587,0.973,3.964597651592e-47,"Med.A1","ENSMUSG00000063646"
"Nsf",3.62379429149152e-51,1.63126506345165,1,0.963,4.29383385598831e-47,"Med.A1","Nsf"
"Ldlrad4",4.12359634986197e-51,-2.71257931056823,0.55,0.98,4.88604931495145e-47,"Med.A1","Ldlrad4"
"Pard3",4.21179333082009e-51,-2.50455091833042,0.55,0.978,4.99055391768872e-47,"Med.A1","Pard3"
"Tuba1b",4.43795076692212e-51,1.66794849641652,1,0.962,5.25852786372602e-47,"Med.A1","Tuba1b"
"Gria2",4.45141129444054e-51,-1.80614987681037,0.853,0.999,5.2744772427826e-47,"Med.A1","Gria2"
"Spata5",4.59664657813437e-51,-3.69453067660153,0.275,0.937,5.44656653043142e-47,"Med.A1","Spata5"
"Rpgr",5.46466574254125e-51,-2.73524601700753,0.596,0.973,6.47508243833713e-47,"Med.A1","Rpgr"
